ELEMENTARY SCHOOLS,Burning Tree ES,,7900 Beech Tree Rd,Bethesda,20817,301-320-6510,http://www.montgomeryschoolsmd.org/schools/burningtreees,-77.14338524,38.98996895,"7900 Beech Tree Rd
Bethesda, MD 20817
(38.9899689499, -77.1433852431)"
ELEMENTARY SCHOOLS,Burnt Mills ES,,11211 Childs St,Silver Spring,20901,301-649-8192,http://www.montgomeryschoolsmd.org/schools/burntmillses,-77.00176108,39.03947531,"11211 Childs St
Silver Spring, MD 20901
(39.0394753102, -77.0017610753)"
ELEMENTARY SCHOOLS,Burtonsville ES,,15516 Old Columbia Pik,Burtonsville,20866,301-989-5654,http://www.montgomeryschoolsmd.org/schools/burtonsvillees,-76.93641589,39.1113737,"15516 Old Columbia Pik
Burtonsville, MD 20866
(39.1113736951, -76.9364158921)"
ELEMENTARY SCHOOLS,Candlewood ES,,7210 Osprey Dr,Rockville,20855,301-840-7167,http://www.montgomeryschoolsmd.org/schools/candlewoodes/,-77.14700038,39.12900238,"7210 Osprey Dr
Rockville, MD 20855
(39.1290023776, -77.1470003793)"
ELEMENTARY SCHOOLS,Cannon Road ES (at Fairland Center),,13313 Old Columbia Pike,Silver Spring,20904,301-989-5662,http://www.montgomeryschoolsmd.org/schools/cannonroades,-76.95789349,39.07460386,"13313 Old Columbia Pike
Silver Spring, MD 20904
(39.0746038591, -76.9578934897)"
ELEMENTARY SCHOOLS,Cannon Road ES (Construction),,901 Cannon Rd,Silver Spring,20904,301-989-5662,http://www.montgomeryschoolsmd.org/schools/cannonroades,-76.99417292,39.06876716,"901 Cannon Rd
Silver Spring, MD 20904
(39.0687671595, -76.9941729238)"
ELEMENTARY SCHOOLS,Capt James E Daly ES,,20301 Brandermill Dr,Germantown,20876,301-353-0939,http://www.montgomeryschoolsmd.org/schools/dalyes,-77.2324352,39.18949171,"20301 Brandermill Dr
Germantown, MD 20876
(39.1894917072, -77.232435198)"
ELEMENTARY SCHOOLS,Carderock Springs ES,,7401 Persimmon Tree La,Bethesda,20817,301-469-1034,http://www.montgomeryschoolsmd.org/schools/carderockspringses,-77.17176005,38.98329563,"7401 Persimmon Tree La
Bethesda, MD 20817
(38.9832956271, -77.1717600546)"
ELEMENTARY SCHOOLS,Cashell ES,,17101 Cashell Rd,Rockville,20853,301-924-3130,http://www.montgomeryschoolsmd.org/schools/cashelles,-77.08591779,39.13731407,"17101 Cashell Rd
Rockville, MD 20853
(39.1373140735, -77.0859177884)"
ELEMENTARY SCHOOLS,Cedar Grove ES,,24001 Ridge Rd,Germantown,20876,301-253-7000,http://www.montgomeryschoolsmd.org/schools/cedargrovees,-77.23226499,39.24939043,"24001 Ridge Rd
Germantown, MD 20876
(39.2493904272, -77.2322649942)"
ELEMENTARY SCHOOLS,Chevy Chase ES,,4015 Rosemary St,Chevy Chase,20815,301-657-4994,http://www.montgomeryschoolsmd.org/schools/chevychasees,-77.08023846,38.97856717,"4015 Rosemary St
Chevy Chase, MD 20815
(38.9785671729, -77.0802384598)"
ELEMENTARY SCHOOLS,Clarksburg ES,,13530 Redgrave Pl,Clarksburg,20871,301-353-8060,http://www.montgomeryschoolsmd.org/schools/clarksburges,-77.28151707,39.23685528,"13530 Redgrave Pl
Clarksburg, MD 20871
(39.2368552824, -77.2815170741)"
ELEMENTARY SCHOOLS,Clearspring ES,,9930 Moyer Rd,Damascus,20872,301-253-7004,http://www.montgomeryschoolsmd.org/schools/clearspringes,-77.20730116,39.26578319,"9930 Moyer Rd
Damascus, MD 20872
(39.265783191, -77.2073011632)"
ELEMENTARY SCHOOLS,Clopper Mill ES,,18501 Cinnamon Dr,Germantown,20874,301-353-8065,http://www.montgomeryschoolsmd.org/schools/cloppermilles,-77.26169424,39.15903065,"18501 Cinnamon Dr
Germantown, MD 20874
(39.1590306504, -77.2616942414)"
ELEMENTARY SCHOOLS,Cloverly ES,,800 Briggs Chaney Rd,Silver Spring,20904,301-989-5770,http://www.montgomeryschoolsmd.org/schools/cloverlyes,-76.99425696,39.10768901,"800 Briggs Chaney Rd
Silver Spring, MD 20904
(39.1076890075, -76.9942569561)"
ELEMENTARY SCHOOLS,Cold Spring ES,,9201 Falls Chapel Way,Potomac,20854,301-279-8480,http://www.montgomeryschoolsmd.org/schools/coldspringes,-77.18886413,39.059219,"9201 Falls Chapel Way
Potomac, MD 20854
(39.0592190026, -77.1888641311)"
ELEMENTARY SCHOOLS,College Gardens ES,,1700 Yale Pl,Rockville,20850,301-279-8470,http://www.montgomeryschoolsmd.org/schools/collegegardenses,-77.16278381,39.10288738,"1700 Yale Pl
Rockville, MD 20850
(39.1028873778, -77.1627838116)"
ELEMENTARY SCHOOLS,Cresthaven ES,,1234 Cresthaven Dr,Silver Spring,20903,301-431-7622,http://www.montgomeryschoolsmd.org/schools/cresthavenes,-76.98763157,39.02748866,"1234 Cresthaven Dr
Silver Spring, MD 20903
(39.0274886611, -76.9876315723)"
ELEMENTARY SCHOOLS,Damascus ES,,10201 Bethesda Church Rd,Damascus,20872,301-253-7080,http://www.montgomeryschoolsmd.org/schools/damascuses,-77.21107055,39.28550559,"10201 Bethesda Church Rd
Damascus, MD 20872
(39.285505588, -77.2110705499)"
ELEMENTARY SCHOOLS,Darnestown ES,,15030 Turkey Foot Rd,Gaithersburg,20878,301-840-7157,http://www.montgomeryschoolsmd.org/schools/darnestownes,-77.28474802,39.10253886,"15030 Turkey Foot Rd
Gaithersburg, MD 20878
(39.1025388648, -77.2847480232)"
ELEMENTARY SCHOOLS,Diamond ES,,4 Marquis Dr,Gaithersburg,20878,301-840-7177,http://www.montgomeryschoolsmd.org/schools/diamondes,-77.23891852,39.13570876,"4 Marquis Dr
Gaithersburg, MD 20878
(39.1357087649, -77.2389185172)"
ELEMENTARY SCHOOLS,Downcounty Consortium ES (2012),,2600 Hayden Dr,Silver Spring,20902,301-309-6277,http://www.montgomeryschoolsmd.org/,-77.05455841,39.01911713,"2600 Hayden Dr
Silver Spring, MD 20902
(39.0191171311, -77.0545584109)"
ELEMENTARY SCHOOLS,Dr Charles R Drew ES,,1200 Swingingdale Dr,Silver Spring,20905,301-989-6030,http://www.montgomeryschoolsmd.org/schools/drewes,-76.98710823,39.09162817,"1200 Swingingdale Dr
Silver Spring, MD 20905
(39.0916281714, -76.9871082262)"
ELEMENTARY SCHOOLS,Dr Sally K Ride ES,,21301 Seneca Crossing Dr,Germantown,20876,301-353-0994,http://www.montgomeryschoolsmd.org/schools/ridees,-77.23736676,39.20681793,"21301 Seneca Crossing Dr
Germantown, MD 20876
(39.2068179297, -77.2373667612)"
ELEMENTARY SCHOOLS,Dufief ES,,15001 DuFief Dr,Gaithersburg,20878,301-279-4980,http://www.montgomeryschoolsmd.org/schools/dufiefes,-77.23753265,39.10183371,"15001 DuFief Dr
Gaithersburg, MD 20878
(39.1018337081, -77.2375326482)"
ELEMENTARY SCHOOLS,East Silver Spring ES,,631 Silver Spring Ave,Silver Spring,20910,301-650-6420,http://www.montgomeryschoolsmd.org/schools/eastsilverspringes,-77.01521059,38.99239501,"631 Silver Spring Ave
Silver Spring, MD 20910
(38.9923950104, -77.0152105919)"
ELEMENTARY SCHOOLS,Fairland ES,,14315 Fairdale Rd,Silver Spring,20905,301-989-5658,http://www.montgomeryschoolsmd.org/schools/fairlandes,-76.9561706,39.09064392,"14315 Fairdale Rd
Silver Spring, MD 20905
(39.0906439188, -76.9561706003)"
ELEMENTARY SCHOOLS,Fallsmead ES,,1800 Greenplace Ter,Rockville,20850,301-279-4984,http://www.montgomeryschoolsmd.org/schools/fallsmeades,-77.176538,39.07796065,"1800 Greenplace Ter
Rockville, MD 20850
(39.0779606451, -77.1765379964)"
ELEMENTARY SCHOOLS,Farmland ES,,7000 Old Gate Rd,Rockville,20852,301-230-5919,http://www.montgomeryschoolsmd.org/schools/farmlandes,-77.14527557,39.0471938,"7000 Old Gate Rd
Rockville, MD 20852
(39.0471937956, -77.1452755671)"
ELEMENTARY SCHOOLS,Fields Road ES,,1 School Dr,Gaithersburg,20878,301-840-7131,http://www.montgomeryschoolsmd.org/schools/fieldsroades,-77.21524012,39.11879524,"1 School Dr
Gaithersburg, MD 20878
(39.118795239, -77.2152401168)"
ELEMENTARY SCHOOLS,Flower Hill ES,,18425 Flower Hill Way,Gaithersburg,20879,301-840-7161,http://www.montgomeryschoolsmd.org/schools/flowerhilles,-77.17130348,39.15900758,"18425 Flower Hill Way
Gaithersburg, MD 20879
(39.1590075849, -77.1713034798)"
ELEMENTARY SCHOOLS,Flower Valley ES,,4615 Sunflower Dr,Rockville,20853,301-924-3135,http://www.montgomeryschoolsmd.org/schools/flowervalleyes,-77.0930515,39.10577041,"4615 Sunflower Dr
Rockville, MD 20853
(39.1057704102, -77.0930515019)"
ELEMENTARY SCHOOLS,Forest Knolls ES,,10830 Eastwood Ave,Silver Spring,20901,301-649-8060,http://www.montgomeryschoolsmd.org/schools/forestknollses,-77.02041937,39.03331044,"10830 Eastwood Ave
Silver Spring, MD 20901
(39.0333104381, -77.0204193723)"
ELEMENTARY SCHOOLS,Fox Chapel ES,,19315 Archdale Rd,Germantown,20876,301-353-8055,http://www.montgomeryschoolsmd.org/schools/foxchapeles,-77.24218975,39.17220186,"19315 Archdale Rd
Germantown, MD 20876
(39.1722018594, -77.2421897485)"
ELEMENTARY SCHOOLS,Gaithersburg ES,,35 N Summit Ave,Gaithersburg,20877,301-840-7136,http://www.montgomeryschoolsmd.org/schools/gaithersburges,-77.19205115,39.14357154,"35 N Summit Ave
Gaithersburg, MD 20877
(39.1435715404, -77.1920511474)"
ELEMENTARY SCHOOLS,Galway ES,,12612 Galway Dr,Silver Spring,20904,301-595-2930,http://www.montgomeryschoolsmd.org/schools/galwayes,-76.94631032,39.0639573,"12612 Galway Dr
Silver Spring, MD 20904
(39.0639572983, -76.9463103201)"
ELEMENTARY SCHOOLS,Garrett Park ES (at Grosvenor Center),,5701 Grosvenor La,Bethesda,20814,301-929-2170,http://www.montgomeryschoolsmd.org/schools/garrettparkes,-77.11413106,39.02353381,"5701 Grosvenor La
Bethesda, MD 20814
(39.0235338133, -77.1141310594)"
ELEMENTARY SCHOOLS,Garrett Park ES (Construction),,4810 Oxford St,Garrett Park,20896,301-929-2170,http://www.montgomeryschoolsmd.org/schools/garrettparkes,-77.09658156,39.03304551,"4810 Oxford St
Garrett Park, MD 20896
(39.0330455094, -77.0965815552)"
ELEMENTARY SCHOOLS,Georgian Forest ES,,3100 Regina Dr,Silver Spring,20906,301-460-2170,http://www.montgomeryschoolsmd.org/schools/georgianforestes,-77.06145469,39.07564286,"3100 Regina Dr
Silver Spring, MD 20906
(39.0756428629, -77.0614546922)"
ELEMENTARY SCHOOLS,Germantown ES,,19110 Liberty Mill Road,Germantown,20874,301-353-8050,http://www.montgomeryschoolsmd.org/schools/germantownes,-77.27642324,39.16981437,"19110 Liberty Mill Road
Germantown, MD 20874
(39.1698143709, -77.27642324)"
ELEMENTARY SCHOOLS,Glen Haven ES,,10900 Inwood Ave,Silver Spring,20902,301-649-8051,http://www.montgomeryschoolsmd.org/schools/glenhavenes,-77.03703936,39.03384254,"10900 Inwood Ave
Silver Spring, MD 20902
(39.0338425388, -77.0370393611)"
ELEMENTARY SCHOOLS,Glenallan ES,,12520 Heurich Rd,Silver Spring,20902,301-929-2014,http://www.montgomeryschoolsmd.org/schools/glenallanes,-77.04136212,39.06135615,"12520 Heurich Rd
Silver Spring, MD 20902
(39.0613561538, -77.0413621208)"
ELEMENTARY SCHOOLS,Goshen ES,,8701 Warfield Rd,Gaithersburg,20882,301-840-8165,http://www.montgomeryschoolsmd.org/schools/goshenes,-77.17988904,39.19437337,"8701 Warfield Rd
Gaithersburg, MD 20882
(39.194373374, -77.1798890434)"
ELEMENTARY SCHOOLS,Great Seneca Creek ES,,13010 Dairymaid Dr,Germantown,20874,301-353-8500,http://www.montgomeryschoolsmd.org/schools/greatsenecacreekes,-77.26918963,39.15226168,"13010 Dairymaid Dr
Germantown, MD 20874
(39.1522616814, -77.2691896298)"
ELEMENTARY SCHOOLS,Greencastle ES,,13611 Robey Rd,Silver Spring,20904,301-595-2940,http://www.montgomeryschoolsmd.org/schools/greencastlees,-76.94175492,39.08041945,"13611 Robey Rd
Silver Spring, MD 20904
(39.0804194508, -76.9417549222)"
ELEMENTARY SCHOOLS,Greenwood ES,,3336 Gold Mine Rd,Brookeville,20833,301-924-3145,http://www.montgomeryschoolsmd.org/schools/greenwoodes,-77.06476326,39.16523202,"3336 Gold Mine Rd
Brookeville, MD 20833
(39.1652320194, -77.0647632594)"
ELEMENTARY SCHOOLS,Harmony Hills ES,,13407 Lydia St,Silver Spring,20906,301-929-2157,http://www.montgomeryschoolsmd.org/schools/harmonyhillses,-77.07611318,39.07660596,"13407 Lydia St
Silver Spring, MD 20906
(39.0766059586, -77.0761131795)"
ELEMENTARY SCHOOLS,Highland ES,,3100 Medway St,Silver Spring,20902,301-929-2040,http://www.montgomeryschoolsmd.org/schools/highlandes,-77.06390853,39.0511227,"3100 Medway St
Silver Spring, MD 20902
(39.0511227, -77.0639085292)"
ELEMENTARY SCHOOLS,Highland View ES,,9010 Providence Ave,Silver Spring,20901,301-650-6426,http://www.montgomeryschoolsmd.org/schools/highlandviewes,-77.01035786,39.00425113,"9010 Providence Ave
Silver Spring, MD 20901
(39.0042511332, -77.0103578619)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Jackson Road ES,,900 Jackson Rd,Silver Spring,20904,301-989-5650,http://www.montgomeryschoolsmd.org/schools/jacksonroades,-76.99180703,39.05642252,"900 Jackson Rd
Silver Spring, MD 20904
(39.0564225207, -76.9918070316)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Jones Lane ES,,15110 Jones La,Gaithersburg,20878,301-840-8160,http://www.montgomeryschoolsmd.org/schools/joneslanees,-77.26584715,39.10337008,"15110 Jones La
Gaithersburg, MD 20878
(39.1033700765, -77.2658471483)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Judith A Resnik ES,,7301 Hadley Farms Dr,Gaithersburg,20879,301-670-8200,http://www.montgomeryschoolsmd.org/schools/resnikes,-77.1519858,39.18157674,"7301 Hadley Farms Dr
Gaithersburg, MD 20879
(39.181576738, -77.1519858022)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Kemp Mill ES,,411 Sisson St,Silver Spring,20902,301-649-8046,http://www.montgomeryschoolsmd.org/schools/kempmilles,-77.01704712,39.04363816,"411 Sisson St
Silver Spring, MD 20902
(39.0436381558, -77.0170471225)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Kensington Parkwood ES,,4710 Saul Rd,Kensington,20895,301-571-6949,http://www.montgomeryschoolsmd.org/schools/parkwoodes,-77.09491199,39.02179566,"4710 Saul Rd
Kensington, MD 20895
(39.0217956579, -77.0949119854)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Lake Seneca ES,,13600 Wanegarden Dr,Germantown,20874,301-353-0929,http://www.montgomeryschoolsmd.org/schools/lakesenecaes,-77.28312027,39.18327431,"13600 Wanegarden Dr
Germantown, MD 20874
(39.1832743058, -77.2831202702)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Lakewood ES,,2534 Lindley Ter,Rockville,20853,301-279-8465,http://www.montgomeryschoolsmd.org/schools/lakewoodes,-77.19407729,39.08795409,"2534 Lindley Ter
Rockville, MD 20853
(39.0879540935, -77.1940772943)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Laytonsville ES,,21401 Laytonsville Rd,Laytonsville,20882,301-840-7145,http://www.montgomeryschoolsmd.org/schools/laytonsvillees,-77.14033772,39.20704668,"21401 Laytonsville Rd
Laytonsville, MD 20882
(39.2070466834, -77.1403377171)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Little Bennett ES,,23930 Burdette Forest Rd,Clarksburg,20871,301-540-5535,http://www.montgomeryschoolsmd.org/schools/littlebennettes,-77.27536309,39.24644581,"23930 Burdette Forest Rd
Clarksburg, MD 20871
(39.246445809, -77.2753630947)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Lois P Rockwell ES,,24555 Cutsail Dr,Damascus,20872,301-253-7088,http://www.montgomeryschoolsmd.org/schools/rockwelles,-77.21410085,39.25622324,"24555 Cutsail Dr
Damascus, MD 20872
(39.2562232443, -77.2141008476)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Lucy V Barnsley ES,505,14516 Nadine Dr,Rockville,20853,301-460-2121,http://www.montgomeryschoolsmd.org/schools/barnsleyes,-77.10358706,39.09412083,"14516 Nadine Dr
Rockville, MD 20853
(39.0941208289, -77.103587056)",686,41.8,58.2,²5.0,14.1,10.2,30.6,²5.0,38.8,6.3,10
ELEMENTARY SCHOOLS,Luxmanor ES,,6201 Tilden La,Rockville,20852,301-230-5914,http://www.montgomeryschoolsmd.org/schools/luxmanores,-77.12722461,39.04487137,"6201 Tilden La
Rockville, MD 20852
(39.0448713701, -77.1272246138)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Maryvale ES,,1000 First St,Rockville,20850,301-279-4990,http://www.montgomeryschoolsmd.org/schools/maryvalees,-77.13696702,39.09126712,"1000 First St
Rockville, MD 20850
(39.0912671214, -77.1369670183)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Meadow Hall ES,,951 Twinbrook Pkwy,Rockville,20851,301-279-4988,http://www.montgomeryschoolsmd.org/schools/meadowhalles,-77.1164059,39.08435213,"951 Twinbrook Pkwy
Rockville, MD 20851
(39.0843521349, -77.1164059038)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Mill Creek Towne ES,,17700 Park Mill Dr,Rockville,20855,301-840-7149,http://www.montgomeryschoolsmd.org/schools/mctes,-77.15380145,39.14642179,"17700 Park Mill Dr
Rockville, MD 20855
(39.146421794, -77.1538014464)",,,,,,,,,,,
ELEMENTARY SCHOOLS,Monocacy ES,,18801 Barnesville Rd,Dickerson,20842,301-972-7990,http://www.montgomeryschoolsmd.org/schools/monocacyes,-77.3928412,39.22426591,"18801 Barnesville Rd
Dickerson, MD 20842
(39.224265906, -77.392841199)"
ELEMENTARY SCHOOLS,Montgomery Knolls ES,,807 Daleview Dr,Silver Spring,20901,301-431-7667,http://www.montgomeryschoolsmd.org/schools/knollses,-76.99317868,39.00574823,"807 Daleview Dr
Silver Spring, MD 20901
(39.0057482268, -76.9931786787)"
ELEMENTARY SCHOOLS,New Hampshire Estates ES,,8720 Carroll Ave,Silver Spring,20903,301-431-7607,http://www.montgomeryschoolsmd.org/schools/nhees,-76.99230458,38.99819681,"8720 Carroll Ave
Silver Spring, MD 20903
(38.9981968148, -76.9923045793)"
ELEMENTARY SCHOOLS,North Chevy Chase ES,,3700 Jones Bridge Rd,Chevy Chase,20815,301-657-4950,http://www.montgomeryschoolsmd.org/schools/nchevychasees,-77.07343235,38.99877053,"3700 Jones Bridge Rd
Chevy Chase, MD 20815
(38.9987705251, -77.073432352)"
ELEMENTARY SCHOOLS,Oak View ES,,400 E Wayne Ave,Silver Spring,20901,301-650-6434,http://www.montgomeryschoolsmd.org/schools/oakviewes,-77.00241562,39.00452605,"400 E Wayne Ave
Silver Spring, MD 20901
(39.0045260505, -77.0024156168)"
ELEMENTARY SCHOOLS,Oakland Terrace ES,,2720 Plyers Mill Rd,Silver Spring,20902,301-929-2161,http://www.montgomeryschoolsmd.org/schools/oaklandes,-77.05739234,39.02861942,"2720 Plyers Mill Rd
Silver Spring, MD 20902
(39.0286194203, -77.0573923387)"
ELEMENTARY SCHOOLS,Olney ES,,3401 Queen Mary Dr,Olney,20832,301-924-3126,http://www.montgomeryschoolsmd.org/schools/olneyes,-77.06828097,39.14922987,"3401 Queen Mary Dr
Olney, MD 20832
(39.1492298699, -77.0682809714)"
ELEMENTARY SCHOOLS,Pine Crest ES,,201 Woodmoor Dr,Silver Spring,20901,301-649-8066,http://www.montgomeryschoolsmd.org/schools/pinecrestes,-77.00503755,39.02131107,"201 Woodmoor Dr
Silver Spring, MD 20901
(39.0213110705, -77.0050375472)"
ELEMENTARY SCHOOLS,Piney Branch ES,,7510 Maple Ave,Takoma Park,20912,301-891-8000,http://www.montgomeryschoolsmd.org/schools/pineybranches,-77.00937888,38.98213166,"7510 Maple Ave
Takoma Park, MD 20912
(38.9821316553, -77.0093788825)"
ELEMENTARY SCHOOLS,Poolesville ES,,19565 Fisher Ave,Poolesville,20837,301-972-7960,http://www.montgomeryschoolsmd.org/schools/poolesvillees,-77.40740754,39.14403132,"19565 Fisher Ave
Poolesville, MD 20837
(39.1440313164, -77.4074075374)"
ELEMENTARY SCHOOLS,Potomac ES,,10311 River Rd,Potomac,20854,301-469-1042,http://www.montgomeryschoolsmd.org/schools/potomaces,-77.21329526,39.02165333,"10311 River Rd
Potomac, MD 20854
(39.0216533251, -77.2132952636)"
ELEMENTARY SCHOOLS,Rachel Carson ES,,100 Tschiffely Square Rd,Gaithersburg,20878,301-840-5333,http://www.montgomeryschoolsmd.org/schools/rachelcarsones,-77.24703593,39.11707725,"100 Tschiffely Square Rd
Gaithersburg, MD 20878
(39.1170772504, -77.2470359348)"
ELEMENTARY SCHOOLS,Ritchie Park ES,,1514 Dunster Rd,Rockville,20854,301-279-8475,http://www.montgomeryschoolsmd.org/schools/ritchieparkes,-77.17443653,39.06313533,"1514 Dunster Rd
Rockville, MD 20854
(39.0631353305, -77.1744365305)"
ELEMENTARY SCHOOLS,Rock Creek Forest ES,,8330 Grubb Rd,Chevy Chase,20815,301-650-6410,http://www.montgomeryschoolsmd.org/schools/rcforestes,-77.05129787,38.99229629,"8330 Grubb Rd
Chevy Chase, MD 20815
(38.9922962885, -77.0512978748)"
ELEMENTARY SCHOOLS,Rock Creek Valley ES,,5121 Russett Rd,Rockville,20853,301-460-2195,http://www.montgomeryschoolsmd.org/schools/rcvalleyes,-77.10260855,39.08321143,"5121 Russett Rd
Rockville, MD 20853
(39.0832114316, -77.102608554)"
ELEMENTARY SCHOOLS,Rock View ES,,3901 Denfeld Ave,Kensington,20895,301-929-2002,http://www.montgomeryschoolsmd.org/schools/rockviewes,-77.07699506,39.0395141,"3901 Denfeld Ave
Kensington, MD 20895
(39.0395140953, -77.0769950641)"
ELEMENTARY SCHOOLS,Rolling Terrace ES,,705 Bayfield St,Takoma Park,20912,301-431-7600,http://www.montgomeryschoolsmd.org/schools/rollinges,-76.99726115,38.9951681,"705 Bayfield St
Takoma Park, MD 20912
(38.995168098, -76.9972611451)"
